SNO,INSTCODE,NAME OF THE INSTITUTION,DIST,PLACE,branch_code,OC_BOYS,OC_GIRLS,SC_BOYS,SC_GIRLS,ST_BOYS,ST_GIRLS,BCA_BOYS,BCA_GIRLS,BCB_BOYS,BCB_GIRLS,BCC_BOYS,BCC_GIRLS,BCD_BOYS,BCD_GIRLS,BCE_BOYS,BCE_GIRLS,OC_EWS_BOYS,OC_EWS_GIRLS,COLLFEE
1,ACEE,ADARSH COLLEGE OF ENGINEERING,EG,GOLLAPROLU,CIV,148874,148874,148874,148874,148874,148874,148874,148874,148874,148874,148874,148874,148874,148874,148874,148874,,,43000
2,ACEE,ADARSH COLLEGE OF ENGINEERING,EG,GOLLAPROLU,CSE,98862,144081,145979,149993,134391,144081,151012,151012,137742,144081,98862,144081,146500,146500,143907,144792,115984,134669,43000
3,ACEE,ADARSH COLLEGE OF ENGINEERING,EG,GOLLAPROLU,ECE,110962,113113,138435,138435,127433,127433,110962,113113,110962,113113,110962,113113,110962,133645,112856,113113,,,43000
4,ACEE,ADARSH COLLEGE OF ENGINEERING,EG,GOLLAPROLU,MEC,132618,149338,148315,149338,142677,149338,132618,149338,132618,149338,132618,149338,132618,149338,132618,149338,,,43000
5,ACES,ADITYA COLLEGE OF ENGINEERING,EG,PEDDAPURAM,CIV,115994,115994,131470,131470,134998,134998,115994,128091,146801,146801,115994,134496,131016,135884,146316,146316,110411,110125,43000
6,ACES,ADITYA COLLEGE OF ENGINEERING,EG,PEDDAPURAM,CSD,45008,48137,151666,151666,151026,151498,77416,77416,72179,76267,45008,48137,76578,76578,89069,89069,48481,49366,43000
7,ACES,ADITYA COLLEGE OF ENGINEERING,EG,PEDDAPURAM,CSE,61096,67586,129718,129718,145722,145722,83961,83961,67668,67668,95884,95884,61096,74897,115117,124258,39526,37056,43000
8,ACES,ADITYA COLLEGE OF ENGINEERING,EG,PEDDAPURAM,CSM,69873,69873,141803,148215,145909,151684,99508,99508,76066,98465,69873,100375,69873,69873,101969,121824,48253,48592,43000
9,ACES,ADITYA COLLEGE OF ENGINEERING,EG,PEDDAPURAM,CSO,55258,55258,58892,147004,59229,151558,102699,123691,86838,89188,55258,55258,61140,64330,125120,125120,58314,54800,43000
10,ACES,ADITYA COLLEGE OF ENGINEERING,EG,PEDDAPURAM,ECE,48585,48755,151117,151117,147480,150622,120859,120859,77077,81556,50811,50811,61313,63146,116262,116262,52474,52205,43000
11,ACES,ADITYA COLLEGE OF ENGINEERING,EG,PEDDAPURAM,EEE,60435,60435,75560,75560,70280,70280,128457,128457,87796,93589,60435,60435,78720,134227,60435,60435,72679,66107,43000
12,ACES,ADITYA COLLEGE OF ENGINEERING,EG,PEDDAPURAM,INF,47891,51419,146661,146661,143060,143060,107614,107614,66717,74488,47891,51419,59803,65309,48542,95405,48483,49253,43000
13,ACES,ADITYA COLLEGE OF ENGINEERING,EG,PEDDAPURAM,MEC,108600,108600,108600,108600,119764,143143,108600,138628,124075,124075,108600,108600,124814,127972,118402,118402,114422,126901,43000
14,ACET,"ADITYA COLLEGE OF ENGINEERING
AND TECHNOLOGY",EG,PEDDAPURAM,CIV,100266,115009,138597,138597,109782,115009,125963,138945,136694,136694,100266,115009,118267,118267,100266,138598,79346,100641,43000
